transaction_id,account_id,iban,counterparty_iban,amount_gbp,currency,transaction_type,merchant_category,country_code,event_timestamp,device_id,ip_country,is_international
TXN-4EC798EF,ACC-98696,GB79NWBK19600133890838,,2497.8,GBP,CARD,GROCERY,GB,2024-01-15 10:00:00,DEV-7873,GB,false
TXN-2EBEEBCB,ACC-30926,GB99NWBK65423511615594,GB15NWBK78161849593103,3660.55,GBP,FPS,MONEY_TRANSFER,GB,2024-01-15 10:30:00,DEV-5741,GB,false
TXN-7CDEC73C,ACC-57819,GB30NWBK55341928327648,,5021.02,GBP,CARD,WIRE_TRANSFER,KP,2024-01-15 11:00:00,DEV-4598,KP,true
TXN-58CADDBF,ACC-84341,GB50NWBK37672423884969,GB61NWBK53287101226916,573.33,GBP,BACS,GROCERY,GB,2024-01-15 11:30:00,DEV-7252,GB,false
TXN-92589041,ACC-54587,GB24NWBK46270482814893,GB29NWBK52880957015430,3010.49,GBP,CHAPS,GAMBLING,GB,2024-01-15 12:00:00,DEV-4946,GB,false
TXN-C3A390AD,ACC-26828,GB94NWBK78248963834657,,28105.0,GBP,CARD,RETAIL,IR,2024-01-15 12:30:00,DEV-9479,IR,true
TXN-989A783A,ACC-40161,GB85NWBK30103105183473,GB79NWBK29973763116566,548.35,GBP,CHAPS,RETAIL,GB,2024-01-15 13:00:00,DEV-8651,GB,false
TXN-3644B3E0,ACC-68800,GB27NWBK62473178108013,,2613.39,GBP,CARD,RETAIL,GB,2024-01-15 13:30:00,DEV-3724,GB,false
TXN-36F377AB,ACC-10282,GB59NWBK47468723430980,GB50NWBK00978820812191,769.38,GBP,CHAPS,MONEY_TRANSFER,GB,2024-01-15 14:00:00,DEV-4853,GB,false
TXN-5A9D191E,ACC-91183,GB20NWBK69985435346247,GB50NWBK10799118384251,15378.01,GBP,CHAPS,RETAIL,RU,2024-01-15 14:30:00,DEV-5002,RU,true
TXN-096BF130,ACC-49240,GB94NWBK12411824493534,GB74NWBK74016400524278,4225.09,GBP,BACS,GAMBLING,IR,2024-01-15 15:00:00,DEV-8007,IR,true
TXN-88EC5BAE,ACC-29410,GB65NWBK20450533158692,,10801.28,GBP,CARD,RETAIL,DE,2024-01-15 15:30:00,DEV-4878,DE,true
TXN-A0F814CA,ACC-42527,GB44NWBK21607337543303,GB61NWBK54145868501429,2728.63,GBP,FPS,CRYPTO,FR,2024-01-15 16:00:00,DEV-5349,FR,true
TXN-C9062EAF,ACC-77033,GB24NWBK69340608835615,,1603.26,GBP,CARD,RETAIL,DE,2024-01-15 16:30:00,DEV-6143,DE,true
TXN-D8A5DCCC,ACC-48752,GB80NWBK23662994680443,,1158.66,GBP,CARD,GAMBLING,DE,2024-01-15 17:00:00,DEV-8043,DE,true
TXN-31E4B2D9,ACC-32241,GB94NWBK14895134332003,GB70NWBK91769367632016,691.03,GBP,BACS,MONEY_TRANSFER,IR,2024-01-15 17:30:00,DEV-4585,IR,true
TXN-74A2AA40,ACC-70901,GB95NWBK88957986872774,GB41NWBK48734714345581,234.73,GBP,FPS,MONEY_TRANSFER,GB,2024-01-15 18:00:00,DEV-3267,GB,false
TXN-A4734A1C,ACC-53369,GB79NWBK76036690967054,GB59NWBK68893734670656,768.72,GBP,FPS,WIRE_TRANSFER,GB,2024-01-15 18:30:00,DEV-3704,FR,false
TXN-0CDC59FC,ACC-27786,GB69NWBK20465375564641,GB70NWBK08053100330923,14269.24,GBP,CHAPS,CRYPTO,GB,2024-01-15 19:00:00,DEV-3068,FR,false
TXN-1BB9E024,ACC-31992,GB87NWBK91241904966319,GB98NWBK31491905865185,1353.56,GBP,CHAPS,RETAIL,GB,2024-01-15 19:30:00,DEV-1207,GB,false
TXN-91F98AEA,ACC-78386,GB93NWBK49877694531473,GB69NWBK99650752735454,8407.38,GBP,CHAPS,MONEY_TRANSFER,GB,2024-01-15 20:00:00,DEV-5526,GB,false
